command_id,sequence_number,message_id,originator_addr,recipient_addr,short_message,src_ip,src_port,dst_ip,dst_port,timestamp
0x00000015,2437,,,,,172.17.0.58,48152,35.200.227.177,12028,29/06/25 08:02:04
0x00000015,2437,,,,,10.51.3.123,48152,35.200.227.177,12028,29/06/25 08:02:04
0x00000015,2437,,,,,172.17.0.58,48082,35.200.227.177,12028,29/06/25 08:02:04
0x00000015,2437,,,,,10.51.3.123,48082,35.200.227.177,12028,29/06/25 08:02:04
0x00000015,2437,,,,,172.17.0.58,48124,35.200.227.177,12028,29/06/25 08:02:04
0x00000015,2437,,,,,10.51.3.123,48124,35.200.227.177,12028,29/06/25 08:02:04
0x00000015,2437,,,,,172.17.0.58,48136,35.200.227.177,12028,29/06/25 08:02:04
0x00000015,2437,,,,,10.51.3.123,48136,35.200.227.177,12028,29/06/25 08:02:04
0x00000015,2437,,,,,172.17.0.58,48122,35.200.227.177,12028,29/06/25 08:02:04
0x00000015,2437,,,,,10.51.3.123,48122,35.200.227.177,12028,29/06/25 08:02:04
0x00000015,2437,,,,,172.17.0.58,48120,35.200.227.177,12028,29/06/25 08:02:04
0x00000015,2437,,,,,10.51.3.123,48120,35.200.227.177,12028,29/06/25 08:02:04
0x00000015,2437,,,,,172.17.0.58,48150,35.200.227.177,12028,29/06/25 08:02:04
0x00000015,2437,,,,,10.51.3.123,48150,35.200.227.177,12028,29/06/25 08:02:04
0x80000015,2437,,,,,35.200.227.177,12028,10.51.3.123,48152,29/06/25 08:02:04
0x80000015,2437,,,,,35.200.227.177,12028,172.17.0.58,48152,29/06/25 08:02:04
0x80000015,2437,,,,,35.200.227.177,12028,10.51.3.123,48082,29/06/25 08:02:04
0x80000015,2437,,,,,35.200.227.177,12028,172.17.0.58,48082,29/06/25 08:02:04
0x80000015,2437,,,,,35.200.227.177,12028,10.51.3.123,48120,29/06/25 08:02:04
0x80000015,2437,,,,,35.200.227.177,12028,172.17.0.58,48120,29/06/25 08:02:04
0x80000015,2437,,,,,35.200.227.177,12028,10.51.3.123,48122,29/06/25 08:02:04
0x80000015,2437,,,,,35.200.227.177,12028,172.17.0.58,48122,29/06/25 08:02:04
0x80000015,2437,,,,,35.200.227.177,12028,10.51.3.123,48150,29/06/25 08:02:04
